id,raw_sentence,pun_type,pun_label
het_1,"' ' I ' m halfway up a mountain , ' ' Tom alleged .",heterographic,1
het_2,"I ' d like to be a Chinese laborer , said Tom coolly .",heterographic,1
het_3,"No , baby oil does NOT come from squeezing dead babies .",heterographic,0
het_4,Dentists don ' t like a hard day at the orifice .,heterographic,1
het_5,Are evil wildebeests bad gnus ?,heterographic,1
het_6,"If you can ' t be good , be careful .",heterographic,0
het_7,A busy barber is quite harried .,heterographic,1
het_8,My name is Avery . I raise birds .,heterographic,1
het_9,Two construction workers had a stairing contest .,heterographic,1
het_10,"In the winter , some horses are Friesian .",heterographic,1
het_11,"It ' s between my sole and my heel , said Tom archly .",heterographic,1
het_12,"OLD ELECTRICIANS never die , they just do it until it Hz .",heterographic,1
het_13,"Yesterday I accidentally swallowed some food coloring . The doctor says I ' m OK , but I feel like I ' ve dyed a little inside .",heterographic,1
het_14,"And Adam asked , "" What ' s a Headache ? """,heterographic,0
het_15,Follow your knows .,heterographic,1
het_16,A china doll was marked in tiny letters : ' maid in USA ' .,heterographic,1
het_17,"I deny everything , said Tom knowingly .",heterographic,1
het_18,The best things come in small packages .,heterographic,0
het_19,The key to changing your performance ability is by tuning out criticism and staying musically octave .,heterographic,1
het_20,"She was only a Farmer ' s daughter , but she was the best little hoer in the county .",heterographic,1
het_21,A good mind possesses a kingdom .,heterographic,0
het_22,"' ' I ' ve stuck a pin through my nose , ' ' said Tom punctually .",heterographic,1
het_23,"I ' m the presenter of the South Bank Show , Melvyn bragged .",heterographic,1
het_24,We welcome you with open psalms .,heterographic,1
het_25,Diets are for people who are thick and tired of it all .,heterographic,1
het_26,When Socrates needed to buy food he went to the grocery stoa .,heterographic,1
het_27,There ' s no peace for the wicked .,heterographic,0
het_28,The cobbler was asked how many shoes he had soled by a well,heterographic,1
het_29,"In an attempt to kill a fly , I drove into a pole .",heterographic,0
het_30,"Features should be discovered , not documented !",heterographic,0
het_31,"They won ' t stay at friendly hotels , because they ' re hostel people .",heterographic,1
het_32,""" I drank WHAT ? ! ? ! "" - Socrates",heterographic,0
het_33,"Let ' s all play an A , a C sharp , and an E , cried Tom ' s band with one accord .",heterographic,1
het_34,The young pine sapling was admonished by his father . Apparently he ' d been knotty .,heterographic,1
het_35,"The doctors had to remove a bone from my arm , said Tom humorlessly .",heterographic,1
het_36,"I ' ve been to a film festival in the South of France , said Tom cannily .",heterographic,1
het_37,"And Homer saith unto them , "" D ' OH ! "" - - Bart 17 : 3",heterographic,0
het_38,A music store was robbed . The thief made away with the lute .,heterographic,1
het_39,"He threw jello at his wife , who had him arrested for carrying a congealed weapon .",heterographic,1
het_40,"' ' Be still my hart ' ' she murmured , thinking how magnificent and stag - like he was .",heterographic,1
het_41,Desperate times call for desperate measures .,heterographic,0
het_42,His wife left him saying she was going home to mutter .,heterographic,1
het_43,Yesterday a cow saved my life - it was bovine intervention .,heterographic,1
het_44,' ' Why is this telephone flex always tangled ? ' ' asked Tom coyly .,heterographic,1
het_45,Fashion is something that goes in one era and out the other .,heterographic,1
het_46,What kind of flooring do alligator hunters use ? Reptiles !,heterographic,1
het_47,The ultimate liquid measure is the supreme quart .,heterographic,1
het_48,"There are no answers , only cross - references .",heterographic,0
het_49,When his clothes dryer broke he was lint another one .,heterographic,1
het_50,Acupuncture is a jab well done .,heterographic,1
het_51,Cows make noise only when they ' re in the mood .,heterographic,1
het_52,Guns don ' t kill people . Bullets kill people .,heterographic,0
het_53,I ' m spending a year dead for tax purposes .,heterographic,0
het_54,"When asked by a Health Department official to describe the mess he saw on the slaughterhouse floor , the USDA inspector replied , ' ' It was just offal . ' '",heterographic,1
het_55,After burning a batch of cookies a baker felt very crummy .,heterographic,1
het_56,The boating store had its best sail ever .,heterographic,1
het_57,Better an egg today than a hen tomorrow .,heterographic,0
het_58,When asked to picture the perfect modern defensive weapon the Claymore springs to mine .,heterographic,1
het_59,When it got stuck in the mud my car had to be toad .,heterographic,1
het_60,"When my camera fell in the toffee I was making , I got a very candied picture .",heterographic,1
het_61,"When in doubt , do nothing .",heterographic,0
het_62,"She wanted the large estate quite badly but , she dared not mansion it to her frugal husband .",heterographic,1
het_63,"My name is Bond , James Bond of Borg . You will be shaken , not stirred .",heterographic,0
het_64,"' ' I ' ve been listening to the Brandenburg Concertos , ' ' Tom barked .",heterographic,1
het_65,By yourself you ' re in the right . In a group you ' re in the throng .,heterographic,1
het_66,When the glassblower inhaled he got a pane in the stomach .,heterographic,1
het_67,"If gophers become extinct , the hole ecosystem will die .",heterographic,1
het_68,Sufficient unto the day is the evil thereof .,heterographic,0
het_69,"' ' I can see through the window , ' ' said Tom stiltedly .",heterographic,1
het_70,"When I went to the International Club , I accidentally spilled coffee on a Hindu lady ' s dress . I told her I was very sari .",heterographic,1
het_71,The Net - surfing bandits always ended an operation by clearing out the cash .,heterographic,1
het_72,Leftover spaghetti is pasta its prime .,heterographic,1
het_73,"' ' This food tastes of plutonium , ' ' said Tom glowingly .",heterographic,1
het_74,' ' Would you like some soda ? ' ' asked Tom caustically .,heterographic,1
het_75,"When the florist was running behind in delivering the roses , he had to put the petal to the metal .",heterographic,1
het_76,I just had some coffee that was good only for its sedimental value .,heterographic,1
het_77,Children can do some knotty things with string .,heterographic,1
het_78,A waterbed may just be the vinyl resting place .,heterographic,1
het_79,Optimist : A Yugo owner with a trailer hitch !,heterographic,0
het_80,Camille relocated to Little Italy : They made her a cougher ; she couldn ' t refuse,heterographic,1
het_81,Bloom where you are planted .,heterographic,0
het_82,A cross between a puppy and a bunny is a rabid dog .,heterographic,1
het_83,"I ' m a lion hunter , said Tom , pridefully",heterographic,1
het_84,"I ' d love to , but the President said he might drop in .",heterographic,0
het_85,Rome wasn ' t built in a day .,heterographic,0
het_86,"The sign on the nudist camp said , ' Clothed ' til May ' .",heterographic,1
het_87,"To kill a circus in one blow , go for the juggler .",heterographic,1
het_88,Don ' t talk the talk if you can ' t walk the walk .,heterographic,0
het_89,"I ' m from a Humberside port , said Tom ghoulishly .",heterographic,1
het_90,"I love cats , Tom mused .",heterographic,1
het_91,Money makes the mare go .,heterographic,0
het_92,"OLD BUTCHERS never die , they only meat their fate .",heterographic,1
het_93,Love of money is the root of all politics .,heterographic,0
het_94,The inventor of chewing gum soon bubbled his money .,heterographic,1
het_95,A young corporal dislocated his arm during a battle but kept going . You could say he was shouldering on .,heterographic,1
het_96,The manufacturing of t - shirts has really cotton .,heterographic,1
het_97,My name is Matt . I ' m a doorman .,heterographic,1
het_98,All are not thieves that dogs bark at .,heterographic,0
het_99,"When the crop was destroyed , there was no more cranberry source .",heterographic,1
het_100,I phoned the zoo but the lion was busy .,heterographic,1
het_101,"' ' Boy , that ' s a bright star , ' ' said Tom seriously .",heterographic,1
het_102,The postmen get together for mail bonding .,heterographic,1
het_103,You go to heaven . . . God sneezes . . . What do you say ?,heterographic,0
het_104,Authors can be very PENsive .,heterographic,1
het_105,My name is Harry . I ' m a barber .,heterographic,1
het_106,Neuter your dog - an ounce of prevention is better than a pound of curs .,heterographic,1
het_107,Giving praise is when you let off esteem .,heterographic,1
het_108,"' ' Now I can do some painting , ' ' said Tom easily .",heterographic,1
het_109,"Truth may be blamed , but it shall never be shamed .",heterographic,0
het_110,"Press Control , Alt , Delete for an I . Q . Test .",heterographic,0
het_111,People who like gold paint have a gilt complex .,heterographic,1
