id,raw_sentence,pun_type,pun_label
hom_1130,I ' ve been to the dentist several times so I know the drill .,homographic,1
hom_355,I went to the store to buy some soup but they were out of stock .,homographic,1
hom_1243,"My name is Victor , and I ' m a winner in everything I do .",homographic,1
hom_633,I wish Noah had swatted those two mosquitoes . . . . .,homographic,0
hom_603,Put your money where your mouth is .,homographic,0
hom_723,"' ' This must be an aerobics class , ' ' Tom worked out .",homographic,1
het_1611,He made so many mistakes that he had an err about him .,heterographic,1
het_245,There is luck in odd numbers .,heterographic,0
hom_928,"Doctor , doctor , I think I ' m a bridge . - What ' s come over you ? - Two cars , a truck and a coach .",homographic,1
het_1326,Out of small acorns grow mighty oaks .,heterographic,0
het_675,It ' s a lengthy article on Japanese Sword Fighters but I can Samurais it for you .,heterographic,1
het_478,"' ' It ' s just gold leaf , ' ' said Tom guiltily .",heterographic,1
hom_2096,"The All - Pro wide receiver ' s wedding was a little bit shaky , but his reception was excellent .",homographic,1
het_1056,Today a truck hit my car . I wasn ' t hurt but I got the freight of my life .,heterographic,1
het_577,You CAN trust the government . . . ask any Indian .,heterographic,0
het_818,The vegetable never taken aboard ship is a leek .,heterographic,1
hom_2143,Home improvement . Take your family to church .,homographic,1
hom_733,A career is a job that takes about 20 more hours a week .,homographic,0
hom_218,I couldn ' t stand to be without my legs .,homographic,1
hom_1718,Be reasonable . . . . . do it my way .,homographic,0
hom_1292,"She was only a Elevator operator ' s daughter , and she loved to go down .",homographic,1
hom_974,A skier retired because he was going downhill .,homographic,1
hom_610,"Profanity , the language of computer professionals",homographic,0
het_875,Nature reserves are an eagle opportunity employer .,heterographic,1
hom_1993,"Everyone talks about the weather , but nobody does anything about it .",homographic,0
hom_1761,Piano players know what bar they are in .,homographic,1
het_1150,A letter carrier career is a mail dominated profession .,heterographic,1
het_1049,My grandmother learned grammar by wrote .,heterographic,1
hom_1729,Waiters are good at multiplication because they know their tables .,homographic,1
hom_874,"We are born crying , live complaining , die disappointed",homographic,0
het_1122,Nothing can compare to picnicking on a French hillside and savoring the bries .,heterographic,1
het_1287,OLD HYPOCHONDRIACS never die they just lose their grippe .,heterographic,1
hom_1755,They call me Pops . I sell soft drinks .,homographic,1
het_169,A nudist has no reason to fear a pickpocket .,heterographic,0
het_1661,A little boy found out from his mother that grime does not pay .,heterographic,1
het_305,"I fought with Geronimo , said Tom bravely .",heterographic,1
hom_49,Discretion is the better part of valor .,homographic,0
het_1143,"At a pet store : ' buy one dog , get one flea ' .",heterographic,1
hom_254,The race dogs got a bad case of the fleas - they had to be scratched .,homographic,1
hom_237,"OLD PILOTS never die , they just buzz off .",homographic,1
het_411,"No matter how much you push the envelope , it ' ll still be stationery .",heterographic,1
hom_1307,My name is Josh . I ' m a talk show host,homographic,1
het_1372,The Loch Ness monster eats fish and ships .,heterographic,1
het_252,"' ' I prefer trout to salmon , ' ' Tom said officiously .",heterographic,1
hom_444,"Success comes in cans , failure comes in cant’s",homographic,1
hom_1417,I used to be a banker but I lost interest,homographic,1
hom_1841,"Bring your spirtual Marshmellows , our pastor is on fire !",homographic,1
hom_481,"I was going to buy some loose tea , but the price was too steep .",homographic,1
